,Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2
343,You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,You can do both.,6.820582994332,0.74370277,You can do something to help them.,You can do something to help.
345,She was go less five months.,She was gone in less than five months.,She had been pregnant for five months.,39.62290071648415,0.7831569,She had been pregnant for five years.,She had been pregnant for 5 years.
353,Had he lift paper in ways or.,Had he lifted up the paper in any way or.,Did he lift paper in ways or.,38.62897709490172,0.9326043,Did he lift paper in ways or.,Did he lift paper in a way or.
355,It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,It is a disgusting smell.,16.86266568741627,0.8477386,It is a disgusting place.,It is a dirty place.
356,Just from lift up hoods and look it.,Just from lifting up the hood and looking at it.,You'll see it.,6.014847131488798,0.723837,You'll see that they're not as big as you thought.,You'll see that they're not as big as you think.
358,That he do put much attention.,That he do not put much attention.,That he do put much attention.,79.7545971011568,0.8575064,That he do put much attention.,That he do put much attention to.
360,Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,do tell carolyn.,40.04604022545592,0.8229264,do tell carolyn.,do tell him.
361,I did want get with fish.,I did not want to get friendly with this fish.,I wanted to be a fisherman.,15.027911625305704,0.75253534,I wanted to eat them.,I wanted to be a fish.
362,You are work the register many years and then.,When you are working the registers so many years and then.,You are work the register many years and then.,67.4582581431322,0.9599867,You are work the register many years and then.,You are work the register many years.
363,It would be blocked too much.,It would be blocked off too much.,It would be blocked too much.,78.87820798033032,0.9612366,It would be blocked too much by the government.,It would be blocked too much.
365,What i would like you do is put cans please.,What i would like you to do is put those cans away please.,You can put the cans on the table.,18.20027947342648,0.7852597,You can put the cans on the table in front of me.,You can put the cans on the floor.
366,We have get kind times constraints here what wha,We have got some kind of time constraint here what uh wha.,We have get kind times constraints here what wha,51.369155964797095,0.95489526,We have get kind times constraints here what wha,We have get kind times constraints here what wha
370,Do get out your seat permission.,Do not get out of your seat without permission.,Do get out your seat.,29.500043243131262,0.85721695,Do get out of your seat.,Do get out your seat permission.
379,Leave crowd they take him as he was.,Leaving the crowds behind they took him along just as he was.,Leave crowd they take him as he was.,37.3805730191585,0.8953681,"Leave crowd, they take him as he was.",Leave crowd they take him as he was.
380,And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,liza was the babysitter.,18.40989721065189,0.83986616,liza was exhausted.,liza was happy.
382,I think i was able keep stuff.,I think i was able to keep up with that stuff.,I was able to find a good place to live.,25.50660736704033,0.7669951,I was able to find a lot of it.,I was able to find a good home.
383,But we uh we have ones.,But we uh we had this one.,But we don't have any.,23.244352986560724,0.73502356,But we don't have them.,But we don't have a dog.
385,You can testify two of them.,So you can testify to two of them.,I can't testify one of them.,42.98014835992432,0.82225007,I can't testify one.,I can testify three.
386,So she be just going watch.,So she is just going to watch.,She don't want to be a part of it.,11.699596933094892,0.774135,She don't know how to play the piano.,She don't know how to play the game.
387,I used use it and find.,I used to use it and found.,I used to use it and find.,78.51276723432792,0.99305737,I used to use it and find it.,I used to use it and find it everywhere.
391,Times i go out there they be.,By the time i went out there again they were still.,Times i go out there they be.,26.0095910894042,0.74517184,Times i go out there they be.,Times i go out there they be.
395,Well i am you do hurt yourself it be lesson.,Well i am glad you did not hurt yourself it is a cheap lesson.,I be you do hurt yourself it be lesson.,42.27234692281047,0.8317294,I do hurt myself it be lesson.,I do hurt yourself it be lesson.
397,And it be hard scrape meeting.,And it was hard to scrape up a meeting.,It be hard scrape meeting.,39.514296743181696,0.8975799,It be hard to scrape meeting.,It be hard to scrape the meeting.
402,This is state has roads go on.,This is where the state has roads going on.,This is state has roads go on.,55.45353429135454,0.96648306,This is state has roads that go on.,This is state has roads go on.
403,And you got have a bunches workers.,And you got to have a bunch of workers.,You can't have a bunch of workers if you don't have a business.,57.37778407544853,0.81879425,You can't do this alone.,You can't have a bunch of workers if you don't have a lot of people.
407,Around and what you could do be.,Around and what you could do is sort of round these.,There is nothing to do around and what you could do be.,56.29428213401936,0.7619216,There is nothing to do around and what you could do be.,There is nothing to do around and what you could do.
413,I be wondering how these be like so.,I was wondering how that was like so perfectly straight.,I be wondering how these be like so.,38.31219285950197,0.7314264,I be wondering how these be like.,I be wondering how these be so.
415,Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,We must be willing to face our fears.,35.705639150498705,0.96563435,We must do what we are afraid of.,"We must be willing to face our fears, no matter what."
416,Of i did not like him.,First of all i did not like him.,Of i did not like him.,60.26240499092622,0.8954332,Of i did not like him.,Of i did not like him.
417,You you probably read examiners article i read.,You you probably read the same examiner article i read.,You you probably read examiners article i read.,74.85237616985611,0.9492282,You you read examiners article i read.,You you read examiners article i read.
418,And we will see what happen big old balloon.,And we will see what happens to this big old balloon.,And we will see what happen big old balloon.,79.05369116862349,0.96322095,And we will see what happen big old balloon.,We will see what happen big old balloon.
423,You have not read book so you do know.,You have not read the book so you do not know.,You have not read book.,43.80850001804289,0.924614,You have not read book.,You have not read book.
424,Let me ask you one thing.,Let me ask you one other thing.,What do you want to do?,10.015028133641714,0.76356196,What do you mean?,What do you want to do next?
427,I like we can sit down,I like when we can sit down to.,I like we can sit down and have a drink.,57.93666053244431,0.9010218,I like we can sit down and talk.,I like we can sit down and have a good meal.
430,Accounts and know people the theatre.,On account of russian and knowing so many people in the theatre.,Accounts and know people the theatre.,43.053937198743306,0.86026496,Accounts and know people the theatre.,Accounts and the theatre.
431,But sky was get brighter him.,But the sky was getting brighter behind him.,He was unable to see the sun.,12.896651027728185,0.7884953,He was unable to see the sun through the clouds.,He was unable to see the sun rise.
434,I be really to hear that person their twenty.,I was just really amazed to hear that people in their twenties.,I be really to hear that person their twenty.,47.59544388682842,0.8419286,I be really to hear that person their twenty.,I be really to hear that person their twenty dollars.
435,I be going have cat in my apartment.,I am going to have a cat in my apartment.,I be going have cat in my apartment.,64.34722427387031,0.97647285,I be going to have cat in my apartment.,I be going have cat in my apartment.
436,They were try figure the bill.,He like needed they were trying to figure out the bill.,They had no idea how much it was going to be.,14.579312056541694,0.78913,They had no idea how much it was.,They had no idea how much it would be.
437,Tha that reassurance of what come it.,Tha that some reassurance of what comes out of it.,Tha that reassurance of what come it.,65.32441859617613,0.95054066,Tha that reassurance of what come it.,Tha that reassurance of what come.
438,I know it be year too i see.,I know it is on this year too i saw.,I know it be year too i see.,47.03070721673488,0.9122578,I know it be year too i see.,I know it be year too.
442,I be go switch i think and.,No i am going to switch i think and.,I be go switch i think and.,61.24700983856286,0.9448738,I be go switch i think and.,I be go switch and.
445,Be because uh these new formulas.,Is because uh with these new mathematical formulas.,Be because uh these new formulas.,50.420510903338965,0.92933625,Be because uh these new formulas.,Be because uh these new formulas.
446,I am go to rent it.,So no i am going to rent it.,I want to watch a movie.,11.450705083532313,0.76191384,I want to watch the movie.,I want to watch a movie tonight.
448,No they did need one there.,No they did not need one there.,They were so hungry they couldn't wait to eat.,19.09444879464127,0.5974232,They were so hungry they couldn't wait to eat it.,They were so hungry.
449,God be revealing himself jacob and god reveals himself us.,So god was revealing himself to jacob and god reveals himself to us.,God be revealing himself jacob and god reveals himself us.,71.73315881918192,0.97729504,God be revealing himself jacob and god reveals himself us.,God be revealing himself jacob and god be revealing himself us.
450,Because you touch you do shoot.,Because when you touch you do not shoot.,Because you touch you do shoot.,62.75688838906062,0.898421,Because you touch you do shoot.,You touch you do shoot.
452,Yes they put stuff that was three times money.,Yes they put up stuff that was worth three times the money.,They put a lot of money into it.,17.419664764598995,0.82551366,They put a lot of stuff.,They put a lot of money in it.
453,Mary lou its cousin used always.,Mary lou my cousin used to always.,Mary lou is a great name for a girl.,23.822392985436466,0.8238677,Mary lou is a great name for a baby.,Mary lou is a great name for a child.
455,My moms do know what do get me.,My mom does not know what to do to get me out.,My mom bought me a new dress.,18.332601889184,0.7257428,My mom bought me a brand new bike for my birthday.,My mom bought me a brand new bike.
456,Midwife said these mother they be have babies without us.,The midwives said well these mothers they are having the babies without us.,They were in labor.,8.156426864881636,0.7787975,They were so happy.,They were so confident.
457,Sat sat boards itself have say.,The sat the sat board itself has said.,Sat sat boards itself have say.,45.58798357393524,0.9252241,Sat sat boards itself have say.,Sat sat boards itself have say that.
458,I be talking greg on friday.,I was talking to greg on friday.,I be talking greg on friday.,65.40408173134028,0.9274893,I be talking greg on friday.,I be talking to greg on friday.
461,The youm i forget what they call it.,In the little youm i forget what they call it.,The youm i forget what they call it.,75.35657834029381,0.9525355,The youm i forgot what they call it.,The youm - I forget what they call it.
462,Twenty years they could let guy go.,After twenty years they could let the guy go.,He was a convicted murderer.,9.248978536788831,0.72689986,He had been in jail too long.,He was too old.
467,Like he be just like recruit us right dinner tables.,Like he was just like recruiting us right off of the dinner table.,He be just like recruit us right dinner tables.,53.57830448437571,0.93346804,He be just like recruit us right at the dinner tables.,He be just like recruit us right at dinner tables.
468,I do know person can do it.,I do not know how a person can do it.,It's just hard to do.,8.424022571543732,0.81858397,It's just hard.,It's just hard to believe.
469,So she say it has not been day.,So she says it has not been a good day.,She hasn't had a chance to look at the clock.,17.38450027415271,0.75397444,She hasn't had a chance to look at the clock yet.,She hasn't had a chance to look at it.
470,Oh i did know you be frederick.,Oh i did not know you were so talented frederick.,Frederick is the name of a famous person.,24.02927462944381,0.7985617,Frederick is the name of a man.,Frederick is the name of a famous actor.
471,So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,Jamie was very angry.,9.71548847759027,0.84928155,Jamie was angry at them.,Jamie was angry at them for their behavior.
472,And knowledge and pursuit ums spirituality has taken on form.,And knowledge and the pursuit of um spirituality has taken on many forms.,And knowledge and pursuit ums spirituality has taken on form.,69.01485015692771,0.9474926,And knowledge and pursuit ums spirituality has taken on form.,And knowledge and pursuit ums spirituality has took on form.
473,They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They want to wear them all the time.,15.535112982923286,0.82673895,They look like a fashion model.,They look like a fashionista.
474,They put new woodworks along bottoms and woodworks windows.,They put new woodwork along the bottom and all new woodwork around the windows.,They were very proud of their work.,12.6648302117849,0.7077598,They were very proud of themselves.,They were very proud of their new work.
475,He get and he would pull thing.,He got up there and he would pull that thing out.,He was a good thief.,9.792787444494566,0.7651696,He was a good wrestler.,He was a good student.
476,She need get into some campus group.,She needs to get into some in campus group.,She is a student at the university.,14.421037448608793,0.8706458,She is a student at a university.,She is a student at a community college.
479,But like i say things will work.,But uh like i say things will work out for the best.,But like i say things will work.,57.94854253129693,0.9098369,But like i say things will work out.,Things will work out.
480,Hm should i turn radio stati.,Hm should i turn on the radio stati.,Hm should i turn radio stati.,73.94482013836738,0.96422297,Hm should i turn radio stati.,Hm should i turn radio on.
483,That that your makeup determines who you are.,That that your genetic makeup largely determines who you are.,I think that's a false idea.,9.83824628320414,0.6588192,I think that's true.,I think that's a very flawed idea.
485,You know faces be too big.,You know the face is not too big.,You know faces be too big.,47.361145774599976,0.80055946,You know faces be too big.,You know faces be too big for me.
487,So it just goes the trash this.,So it just goes in the trash like this.,It just goes the trash this.,52.90774213278675,0.94479656,It just goes to the trash this.,It just goes the trash.
489,Actually those help you have backache.,Actually that helps when you have a backache.,You need to lie on the bed if you want to have a backache.,39.56729834661304,0.81265175,You need to lie on the bed if you have a backache.,You need to lie on the bed if you want to have a good backache.
490,I can fit balloons ittybitty container.,So i can fit all those balloons into this little ittybitty container.,I can fit balloons ittybitty container.,51.67629802594475,0.93447685,I can fit balloons in ittybitty container.,I can fit balloons ittybitty container.
491,I get out of it be the name of book.,So all i got out of it was the name of the book.,I get out of it be the name of book.,45.976149701175984,0.8685061,I get out of it be the name of the book.,I get out of it be the name of a book.
492,I think that be going go.,I think that is going to go.,I think that be going go.,55.94302639833876,0.9037771,I think that be going go.,I think that be going to go.
494,I take that a good sign.,I took that as a pretty good sign.,I have been able to find my way home.,10.409756293860111,0.7412038,I have been able to make it to the concert.,I have been able to make it to the game without an injury.
496,Should you steal why should you shoot.,Why should not you steal why should not you shoot.,Should you steal why should you shoot.,63.5213011987821,0.9243139,Should you steal why should you shoot?,Should you steal why should you shoot
500,Mister roberts do you have conversation.,Mister roberts did you have any conversations.,Mr. roberts do you have conversation.,55.06254396742089,0.9390331,Mr. roberts do you have conversation.,Mr. roberts do you have a conversation.
501,I do know how old it is.,So i do not know how old it is.,It is very old.,10.750248181704904,0.82284546,It is a very old house.,It is a very old boat.
502,I still have not find sauces.,I still have not found the sauce.,I haven't had a chance to look yet.,20.15163315978421,0.76148677,I haven't had a chance to look.,I haven't had a chance to look around.
504,We have several scars in barn from people bounce trees.,We have several scars in this barn from people bouncing off of trees.,We have several scars in barn from people bounce trees.,71.45844769645782,0.96843207,We have several scars in barn from people bounce trees.,We have several scars in our barn from people bounce trees.
505,I would never be handle it.,I would never be able to handle it.,I would be too scared.,22.906880337489344,0.84455884,I would be too scared to do it.,I would be too scared to be in that situation.
508,You know there is not girl farrier around.,You know there is not really any girl farriers around anywhere.,You know there is not girl farrier around.,56.51926674551743,0.9488486,You know there is not a girl farrier around.,You know there is not a girl farrier.
511,Call night and say make a note potassium though.,Call out last night and say make a note for potassium though.,I'm not sure it's a good idea to make a note of potassium though.,47.18044991866091,0.8158665,I'm not sure it's a good idea to make a note about potassium though.,I'm not sure it's a good idea to make a note about potassium.
518,Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,We had it for a long time.,11.542450491820388,0.76836544,We had it for a while.,We had a lot of it.
520,No i did bring your set keys.,No i did not bring your set of keys.,I'm sorry.,4.132231404958678,0.68518114,"I'm sorry, I forgot.",I'm sure you didn't forget.
522,See we need to ask ourselves question single day.,See we need to ask ourselves that question every single day.,We need to ask ourselves question every single day.,80.09602716305605,0.9598379,We need to ask ourselves question every day.,We need to ask ourselves why.
523,God turn volumes let me here.,God turn the volume down let me out of here.,God turn volumes let me here.,41.76619243740126,0.8599123,God turn volumes let me here.,God turn volumes let me here.
526,I mean that looks of like black person.,I mean that looks kind of like a black person.,I want to slap that black person.,38.761396943907975,0.8127515,I am not sure.,I want to slap that person.
529,You can like people go cuba times.,You can like people go to cuba all the time.,You can like people go cuba times.,62.56608952400617,0.8913684,You can like people go cuba.,You can like people go Cuba times.
530,I knew i do like guys.,I just knew i did not like the other guy.,I am just not sure how to express it.,15.644493995981035,0.6567498,I am just not sure how to ask for them.,I am just not sure how to express myself.
531,So she goes and gets mother.,So she goes and gets the mother.,She tells her to go to bed.,18.310486195810828,0.7628613,She tells her to go to the store.,She tells her to go home.
532,I just played basketballs main beach.,I just played basketball at main beach.,I had a great time.,8.543458398380803,0.7390772,I had a good time.,I had a great time!
535,You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,I'm going to vote for you.,7.866192294342242,0.70664907,I don't think I'm going to change my mind.,"I don't think I'm going to change my mind, though."
537,I think though it is neat watch them.,I think though it is really neat to watch them.,I like watching them do tricks.,20.14094932342901,0.84461343,I can tell they love it.,I can tell that they are very excited.
539,We will put it business basis.,We will put it on a business basis.,We will put it business basis.,79.7545971011568,0.9853895,We will put it in business.,We will put it into practice.
540,She says we are having them do exercises.,She says now we are having them do uh exercises.,She is a physical therapist.,13.586386420210248,0.7653005,She is a teacher.,She is a doctor.
541,And he lives right colorado springs.,And he lives right here in colorado springs.,He is in a lot of trouble with the law.,14.266404043636983,0.690958,He is in a lot of trouble with the police.,He is in a lot of trouble.
542,Yeah because i can remember questions.,Yeah because i cannot remember the questions.,I can answer them.,14.045156011214685,0.7477389,I can pass the math test.,I can answer them all.
546,But i be not volunteer anything.,But i am not volunteering for anything.,I want to be a volunteer.,27.41792537676096,0.7845474,I want to be a volunteer at the soup kitchen.,I am not willing to help.
548,Go to tucson mall and walk morning.,Go over to tucson mall and walk every morning.,Go to tucson mall and walk morning.,66.33100559881663,0.95902693,Go to tucson mall and walk in the morning.,Go to tucson mall and walk afternoon.
551,You could even see far away.,You could not even hardly see very far away.,The sun was shining brightly in the sky.,8.515636501117491,0.71626234,The sun was shining brightly.,The sun was so bright.
552,Like describe growth patterns plant or something.,Like describing growth patterns like a plant or something.,I'd like to do something with plants.,29.101633962287405,0.7658999,I'd like to do a word search.,I'd like to do a word search on this.
556,Luther be glad take theme debate.,Luther was glad to take up the theme of this debate.,Luther be glad take theme debate.,41.30349445239862,0.95440906,Luther be glad take theme debate.,Luther be glad take the debate.
558,I think you be go go and do uh.,I think you are going to go and do uh a.,I think you be go go and do uh.,56.59427196824105,0.93124855,I think you be go go and do uh.,I think you be go go go and do uh.
561,Oh you could see their hips bones its spine.,Oh you could see his hips every bone in his spine.,It's a skeleton.,4.324590863052402,0.72114795,Its a skeleton.,It's a skeleton!
562,Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,I was able to get a job.,6.219631455795687,0.7791195,I was able to get a job at a good company.,I was able to get a job at a big company.
563,Frets come and spend week him and i said no.,A fret to come and spend a week with him and i said no.,Frets was a jerk.,6.934029619809682,0.7373458,Frets was very disappointed.,Frets was a jerk to me.
566,If you want to get drink water or something that.,If you want to get a drink of water or something like that.,If you want to get drink water or something that.,69.08588192537303,0.95812577,If you want to get drink water or something that.,If you want to get drink water or something.
567,But you can not look star with microscope.,But you cannot look at the stars with a microscope.,Star is too far away.,9.08513456129247,0.7940319,Star is too far away.,Star is too big.
572,But it is one of the things that lot colleges use.,Yes but it is one of the things that a lot of colleges use.,It is one of the things that a lot colleges use.,76.16717153398722,0.9710786,It is one of the things that a lot of colleges use.,It is one of the things that colleges use.
573,I need to get caught my work.,I need to get caught up on my work.,I am going to be late for work.,18.23099424773224,0.79585475,I am going to be late to work.,I am going to be late for work today.
577,See let us say that be.,See let us say that is approximately.,See let us say that be.,49.22309327650532,0.8510077,See let us say that be.,See let us say that be.
579,I do know i mean i have not.,I do not really know i mean i have not.,I'm not sure if i have.,17.507169088516704,0.8744348,I'm not sure.,I'm not sure i do.
581,You are now standing one those diversion tunnels.,You are now standing in one of those old diversion tunnels.,You can now see that there is a fire hydrant.,15.972975661299987,0.72728544,You can now see that there is a fire hydrant at your feet.,You can now see that you are in a tunnel.
582,Eight or ocho and uh huit in french thank you.,Eight or ocho in spanish and uh huit in french thank you very much.,Eight or ocho and uh huit in french thank you.,64.60930713151171,0.9747007,Eight or ocho and uh huit in French thank you.,Eight or ocho and uh huit in french thank you
583,Which means you have go the workshop.,Which means you have to go through the workshop.,You need to learn how to use the new tool.,13.943889144920776,0.78189194,You need to learn how to use the new tools.,You need to learn how to use a tool.
586,Well we would like have this option.,Well we would like to have that as an option.,Well we would like have this option.,63.28299451142932,0.9750273,Well we would like to have this option.,Well we would like this option.
587,Get into what i be get.,Get into what i am getting into.,I be get into what i be get.,42.86479559608086,0.889105,I be get into what i be get.,I be get into what I be get.
592,I have read books so i do know.,I have not read the book so i do not know.,I know how to read a book.,21.44691972966295,0.76507545,I know how to read.,I know how to spell.
593,And i can always put  up tops.,And i can always put thoughse back up into the top.,I am a person who likes to dress up.,10.897139808508962,0.69172513,I am a person who likes to wear tops.,I am a very creative person.
597,You can use this your muffins.,You can use this for your muffins.,You can use this to make muffins.,63.212575574007744,0.9863917,You can use this to make muffins.,You can use this to make muffins for breakfast.
599,It is they have been defined.,It is often when they have been defined.,It is they have been defined.,66.36618842252354,0.92088616,It is they have been defined.,It is they have been defined as.
600,I figured he would be in hearing him at.,I figured he would be interested in hearing him at least.,He was so loud that he couldn't hear him.,17.59456098505254,0.70265937,He was so loud that he couldn't hear him at all.,He was so loud that he could barely hear him.
601,You could call me and then listen tape night.,You could not call me up and then listen to a tape that night.,You could call me and then listen tape night.,57.20236423666031,0.8093492,You could call me and then listen to tape night.,You could call me and then listen to the tape night.
603,She just do have controls over his body.,She just do not have no control over her body.,She is the one who is controlling him.,23.169598079150468,0.77436566,She is the one who is in control.,She is the one who is in control of him.
605,And we lost a lot customers this.,And we lost a lot of customers because of that.,We didn't have a lot of new products to sell.,23.189967793854045,0.8182107,We didn't have a lot of new products to offer.,We didn't have a lot of new products.
606,How get the parking lot because it used be on.,The how to get in the parking lot because it used to be on.,I don't know how to get the parking lot because it used be on.,72.15792359167904,0.9274869,I don't know how to get the parking lot because it used to be on.,I don't know how to get the parking lot because it used be on the other side.
609,I take two and halves squares.,So i take two and a half squares.,I am a mathematician.,8.908998516890314,0.7293682,I am a math genius.,I am a mathematician!
611,I mean these is drawing points.,So i mean that is a strong drawing point.,I mean these is drawing points.,46.7913938754736,0.7627772,I mean these is drawing lines.,I don't know how to draw.
612,Just bits but yoyou be go down.,Just a little bit more but yoyou are going down.,"You be go down, down, down, down, down, down, down, down, down, down, down,",8.929408473975265,0.85857415,"You be go down, down, down, down, down, down, down, down, down, down, down.","You be go down, down, down, down, down, down, down, down, down, down."
618,I do not think you will be get ones.,I do not think you will be getting much out of that one.,I think you will be disappointed.,33.98445751523936,0.82054067,I think you will be get ones.,I think you will be a disappointment.
627,And there is um there is nickelodean free.,And there is um also there is also a nickelodean free.,"And there is, there is, there is, there is, there is, there is, there is, there is,",28.885849103921203,0.7170286,And there is um there is nickelodean free.,"And there is, there is, there is, there is, there is, there is nickelodean free."
629,And i said what be i you.,And i said what am i not nice to you about.,And i said what be i you.,39.64983203331259,0.875266,And i said what be i you.,And i said what be i you.
631,I do transport myself cta properties.,I do not transport myself on cta properties.,I do transport myself cta properties.,74.6150989369109,0.88904107,I do transport myself to cta properties.,I do transport myself cta properties.
632,She goes tommy spencer opened her mouth.,She goes well tommy spencer opened his big mouth.,She drew a picture of a giraffe.,9.709120312745128,0.67118186,She drew a picture of a teddy bear.,She drew a picture of a cat.
635,Why did he want ask hector move editorial.,Why did he want to ask hector to move back to editorial.,He wanted to know how hector was doing.,21.40903384800358,0.84439397,He wanted to know how hector felt about the article.,He wanted to know how hector felt about the news.
640,And did umbrella have uh end it.,And did the umbrella have uh a smooth end on it.,And did umbrella have uh end it.,52.12389077986265,0.8513778,And did umbrella have uh end it?,And did umbrella have to end it.
642,And play side side b then side side b.,And play side a then side b then side a side b.,Then play side side a then side side a.,59.63947802144788,0.96220076,Then play side side a then side side b.,Then play side side a and side side a.
644,Because if i want her have another one now.,Because if not i want her to have another one now.,I'll have another one later.,36.09690955121848,0.78999454,I'll have another one now.,I'll have another one.
645,She be actress woody allen movies woman seventytwo.,She is an actress woody allen movies older woman about seventytwo.,She be actress woody allen movies woman seventytwo.,63.88924821332307,0.98123926,She be actress woody allen movies woman seventytwo.,She be actress woody allen movies woman seventy-two.
651,So she come have more friends.,So she came here to have more friends.,She wanted to have more friends.,59.11916284600375,0.9453582,She wanted to have more people in her life.,She wanted to have more friends because she liked them.
653,I do know where i drew it.,I do not know where i drew it out.,I drew it on the wall.,27.22251268243399,0.7812563,I drew it on the wall of my room.,I drew it on the wall of my bedroom.
659,If you are keep fivehundreddollar balance.,If you are keeping a fivehundreddollar balance.,If you are keep fivehundreddollar balance.,84.64388879808568,0.99084437,If you are keep fiftyhundreddollar balance.,If you are keep fivehundreddollar balance.
660,And they be like you know.,And they were like okay you know.,They be like you know.,38.38637178876725,0.88343835,They be like you know.,They be like you know.
661,Today i mean as todays as it was.,As typical today i mean as topical today as it was then.,Today is a good day.,11.77012111088807,0.7079953,Today is today.,Today is todays.
667,We get go symphonies saturday nights.,We got to go to the symphony saturday night.,We love going to the symphony.,39.8369112277414,0.8552101,We love going to symphonies.,We love going to the symphonies.
668,And how do we get this.,And now how did we get on that.,And how do we get this.,29.057399092837127,0.8568834,And how do we get this?,And how do we do this.
670,But i want overcome their fears.,But i really want to overcome my fears.,I want them to get over their fears.,30.98037763972636,0.8505429,I want them to get over their fear of heights.,I want them to get over their fear of flying.
671,Oh wow i use these time.,And when i opened it up i said oh wow i use these all the time.,Oh wow i use these time.,34.57462662023711,0.81541014,Oh wow i use these time.,Oh wow i use those time.
675,When you get back we have hoove.,When you get back here we have dry hooves.,We'll take care of it.,7.052830175296741,0.7080715,We'll take care of you.,We're going to eat.
678,But this be inside door that they put livings rooms.,But these are inside french doors that they put on the living room.,But this be inside door that they put livings rooms.,44.91601065512656,0.9215527,But this be inside door that they put livings rooms.,But this be inside door that they put livings rooms.
681,And we have ice cream out the quads.,And then we had free ice cream out on the quad.,We have ice cream out the quads.,46.3165422722121,0.90036273,We have ice cream in the quads.,We have ice cream out the Quads.
682,I mean they can make mistakes.,I mean they can make mistakes too.,They are human.,9.503132165404018,0.84735155,They are human beings.,They are still human beings.
684,I be going say do you find foods that is low.,I was going to say where do you find food that is that low.,I be going say do you find foods that is low.,48.47883888022033,0.877341,I be going say do you find foods that is low.,I be going say do you find foods that is low in fat.
685,Darren drag that crashpad to center mats and.,Darren drag that crashpad to the center of the mats and . bad connection.,Darren is on the floor.,12.498348471537144,0.8153516,Darren puts it down.,Darren is getting ready to ride.
689,This is his second day work it go there.,This is your second day of work it only goes down hill from there.,He is a new employee.,5.838738668333854,0.75887764,He is a new employee at the company.,He is a new employee at the restaurant.
690,It need be here and they be.,It needs to be baggier here and they are analy.,They need be here and they be.,34.47401144153343,0.75523025,They need be here and they be.,They need to be here and they be.
691,You can look me and i be body.,You can look at me and i am a body.,You can look me and i be body.,57.59908155827754,0.96652544,You can look me and i be body.,You can look me and i be body..
695,Because i tell him i thought he was too young be.,Because i told him i thought he was too young to be so involved.,"He didn't believe me, so i told him he was too young to be.",47.94191113903376,0.8962654,"He didn't believe me, so i told him he was too young be.","He didn't believe me, so i told him he was too young."
696,I have much distance between us.,I have too much distance between us.,I can't see her every day.,11.294543240158756,0.86064315,I can't see her often.,I can't see him often.
697,A shots did they give him shot.,A shot why did they give him a shot.,They gave him a shot.,42.87942829579919,0.9245018,They gave him a shot.,A shots did they give him shot.
703,You have wait three hours for it hare.,You have to wait three hours for it to harden.,You have wait three hours for it hare.,66.48095255432528,0.90669286,You have to wait three hours for it hare.,You have wait three hours for it hare.
705,But they are married anymore but.,But they are not married anymore but still.,They still have a lot in common.,17.558853333820224,0.7516158,They still have a lot of things to talk about.,They still have a lot in common and are still friends.
707,Okay i will wait until those.,Okay i will wait until after that.,I will wait until those.,46.83128944909505,0.8981894,I will wait until those are done.,I will wait until i get there.
708,And pities the ref gave it a safety.,And out of pity the ref gave it not a safety.,It would have been a touchdown.,11.656367504211822,0.7841637,It would have been a fumble.,It would have been a touchdown if he had blown it.
714,They tell me stay away her do call or anything.,They tell me to stay away from her do not even call or anything.,I don't know what to do.,7.152199723906905,0.7082329,I don't want to be a stalker.,I don't know what to do.
715,My wives said she would like have register put room.,My wife said she would like to have a register put in this room.,My wife was disappointed.,16.230806492611862,0.75278485,My wife was upset.,My wife was angry.
719,Uh prevent you from go anywhere,Uh prevent you from going anywhere and then tha.,Uh prevent you from go anywhere.,60.28554159301871,0.9805249,Uh prevent you from go anywhere,Uh prevent you from go anywhere
721,And i found there is two books list our names one.,And i found there is two books listed under her name besides this one.,I can't remember the other one.,13.297833393894306,0.7683389,I can't remember the other.,I was so excited.
722,Although if we do it sidewalls.,Although if we do it in the sidewalls.,We are going to have a lot of trouble.,11.97739655823488,0.6719568,We are going to have a great time.,We are going to have a lot of dust.
724,N he looked student sort student type but keep.,N he looked like a student sort of a student type but venicely kept.,N he looked student sort student type but keep.,55.72273548535325,0.9507284,N he looked student student type but keep.,N he looked student type student but keep.
726,She would not give them for world.,She would not give them up for the world.,She was very grateful for them.,25.22985078574378,0.843684,She was very grateful for her parents.,She loved her parents.
727,Simon sons jonah do you love me these.,Simon son of jonah do you love me more than these.,Simon sons jonah do you love me these.,63.39083805216277,0.92922425,Simon sons jonah do you love me these.,Simon sons jonah do you love me.
732,Uh that we do need drink.,Uh that we do need to drink.,That we do need drink.,63.02583998111252,0.9784303,That we do need a drink.,That we do need a drink!
