Source,Target,Gen_comp,ChrF,Cos_sim_t5,Gen_comp1,Gen_comp2,Total_ChrF
Muscle was just just labored breathing.,The muscle was just hard from just labored breathing.,Muscle was just just labored out breathing.,62.31632952906108,0.9409317,Muscle was just just labored breathing.,Muscle was just just labored at breathing.,88.67944035109309
Sorts of dictates i feel about be spacesuit.,Sort of dictates how i feel about being in this spacesuit.,Sort of dictates i feel about being in a spacesuit.,75.2867855568272,0.984766,Sort of dictates i feel about being a spacesuit.,Sort of dictates how i feel about being in a spacesuit.,85.88670603913685
Her door have two locks now.,Our front door has two locks now.,Her door has two locks now.,70.69822958439727,0.919346,Her door has two locks now.,Her door has two locks now.,100.0
What we do that is where ferrier come.,What we do then that is where the ferrier comes in.,What we do that is where ferrier comes.,70.42698932623958,0.95637023,What we do that is where ferrier comes in.,What we do that is where the ferrier comes.,87.3885910966916
That be amount water that goes niagara falls.,That is the same amount of water that goes over niagara falls.,That is the amount of water that goes to the niagara falls.,76.24604491880339,0.92407614,That is the amount of water that goes down the niagara falls.,That is the amount of water that goes up in niagara falls.,85.53387401480387
Well they did a bunch people.,Well they did a whole bunch of people.,Well they did a bunch of people.,75.8853299399905,0.9900185,Well they did a bunch of people.,Well they did a bunch of people.,100.0
I say so he be bully school.,I said so therefore he probably is a big bully at school.,I said so he was bully at school.,42.20586569510976,0.9092275,I said so he is bully at school.,I said so he is bully in school.,74.94127864388236
That is the biggest crocks shits i have heard.,That is the biggest crock of shit i have ever heard.,That is the biggest crock shit i have heard.,73.96306462327948,0.98677707,That is the biggest crock shit i have heard.,That is the biggest crock shit i have heard.,100.0
There is a movie sit desk.,There is a movie sitting on the desk out there.,There is a movie sitting on the desk.,78.57544640966422,0.98586905,There is a movie sitting on the desk.,There is a movie sitting on the desk.,100.0
And they have this and they have understanding souls.,And they had this and they had this understanding of the souls.,And they have this and they have this understanding soul.,68.36423905508673,0.91507804,And they have this and they have this and they have this understanding soul.,And they have this and they have this understanding of soul.,84.91349888029312
And they came it say they were.,And they came out it says they were afraid too.,And when they came out it said they were.,60.21836030484572,0.838548,And when they came out it said they were not.,And when they came out it said that they were not.,85.78045724199325
Well i would assume san francisco be cities the country.,Well i would assume san francisco is higher than most cities around the country.,Well i would assume san francisco is the largest city in the country.,64.77134417008754,0.8962263,Well i would assume san francisco is the largest city in the country.,Well i would assume san francisco is the city of the country.,89.03577473719113
Do it keep you relationship god.,Does it keep you from a personal relationship with god.,Do it keep you in a relationship with god.,60.46220724756919,0.86087495,Do it keep you in relationship with god.,Do it keep you in relationship with god.,93.89737750853716
Well schools has this good point.,Well this school has this good point.,Well school has this good point.,79.62349228718743,0.9389355,Well school has this good point.,Well school has this good point.,100.0
You know save the whale or saving polar bea.,You know saving the whale or saving uh the polar bea.,You know save the whale or saving the polar bea.,81.57434103161093,0.9894693,You know save the whale or saving the polar bea.,You know save the whale or saving the polar bea.,100.0
She was go less five months.,She was gone in less than five months.,She was going less than five months.,78.93203219586009,0.929353,She was going less than five months.,She was going under less than five months.,85.37477727212787
Had he lift paper in ways or.,Had he lifted up the paper in any way or.,Had he lifted the paper in a different way or.,66.98509390734402,0.932993,Had he lifted the paper in some way or.,Had he lifted the paper in a way or not.,74.56579465990136
It smells like you are walking dumpster.,It smells like you are walking past a dumpster.,It smells like you are walking through a dumpster.,81.03019368958758,0.98036075,It smells like you are walking through a dumpster.,It smells like you are walking into a dumpster.,87.89983164717589
Just from lift up hoods and look it.,Just from lifting up the hood and looking at it.,Just from lifting up the hood and looking at it.,100.0,1.0000005,Just from lift up the hood and look at it.,Just from lifting up the hood and look at it.,85.21318364006369
That he do put much attention.,That he do not put much attention.,That he does not put much attention on.,86.17870129028891,0.9662509,That he does not put much attention.,That he does not put too much attention on.,85.6707610895795
Do tell him or do tell carolyn.,Do not tell him or do not tell carolyn.,Do not tell him or do not tell carolyn.,100.0,1.0,Do not tell him or do not tell carolyn.,Do not tell him or do not tell carolyn.,100.0
I did want get with fish.,I did not want to get friendly with this fish.,I did not want to get along with the fish.,58.62043375732712,0.9639418,I did not want to get along with the fish.,I did not want to get along with fish.,92.58979254988209
You are work the register many years and then.,When you are working the registers so many years and then.,You are working the register for a long time and then.,60.43749918375904,0.95431364,You are working the register for a lot of years and then.,You are working the register for a very long time and then.,78.63299305971911
It would be blocked too much.,It would be blocked off too much.,It would be blocked too much.,78.87820798033032,0.9612366,It would be blocked too much.,It would be blocked too much.,100.0
What i would like you do is put cans please.,What i would like you to do is put those cans away please.,What i would like you to do is put the cans please.,76.46777480814217,0.8917632,What i would like you to do is put in a can please.,What i would like you to do is put in the can please.,82.31740862837255
We have get kind times constraints here what wha,We have got some kind of time constraint here what uh wha.,We have got a kind of limited time here what whaa.,44.07909540541119,0.9367819,We have got a kind of limited time here on what whaa.,We have got a kind of limited time here what wha.,92.07984881429397
Do get out your seat permission.,Do not get out of your seat without permission.,Do not get out of your seat with permission.,86.09299625623683,0.97909063,Do not get out of your seat with permission.,Do not get out of your seat without permission.,90.51277260393037
Leave crowd they take him as he was.,Leaving the crowds behind they took him along just as he was.,Leave the crowd they took him as he was.,51.91043131016383,0.91652596,Leave the crowd they took him as he was.,Leave the crowd they took him as he was.,100.0
And liza had go something so they be babysitting cassandra.,And liza had to go do something so they are stuck babysitting cassandra.,And liza had gone somewhere so they were babysitting cassandra.,57.91330664358315,0.9400509,And liza had gone somewhere so they were babysitting cassandra.,And liza had gone somewhere so they were babysitting the cassandra.,93.77264762039248
I think i was able keep stuff.,I think i was able to keep up with that stuff.,I think i was able to keep this stuff.,66.56731524659735,0.86248404,I think i was able to keep all this stuff.,I think i was able to keep all of this stuff.,83.07107429516194
You can testify two of them.,So you can testify to two of them.,You can testify two of them.,74.6651761075934,0.976714,You can testify two of them.,You can testify about two of them.,80.8282058357331
So she be just going watch.,So she is just going to watch.,So she is just going to watch.,100.0,1.0000002,So she is just going to watch.,So she is just going to watch.,100.0
I used use it and find.,I used to use it and found.,I used to use it and find.,78.51276723432792,0.99305737,I used to use it and find.,I used to use it and find it.,91.11222538966808
Well i am you do hurt yourself it be lesson.,Well i am glad you did not hurt yourself it is a cheap lesson.,Well i am not you do not hurt yourself it is a lesson.,61.9900966716007,0.8773446,Well i am not you do not hurt yourself it is a lesson.,Well i am not you do not hurt yourself it is a lesson for.,94.73035141401459
And it be hard scrape meeting.,And it was hard to scrape up a meeting.,And it is hard to scrape up a meeting.,84.38353913456525,0.9702455,And it is hard to scrape up a meeting.,And it is hard to scrape the meeting.,86.3560505054758
This is state has roads go on.,This is where the state has roads going on.,This is the state has a road going on.,59.88929269617964,0.9699059,This is the state has a road going on.,This is the state has no roads going on.,82.14676879443374
And you got have a bunches workers.,And you got to have a bunch of workers.,And you got a bunch of workers.,72.76322998263586,0.94341946,And you got a bunch of workers.,And you got a bunch of workers.,100.0
Around and what you could do be.,Around and what you could do is sort of round these.,Around and what you could do is.,62.33473563343506,0.9320154,Around and what you could do is.,Around and what you could do is.,100.0
I be wondering how these be like so.,I was wondering how that was like so perfectly straight.,I am wondering how these are like so.,39.27383776697535,0.7311038,I am wondering how these are like so.,I am wondering how these are like so.,100.0
Order overcome your fear we must face our fears.,In order to overcome our fears we must face our fears.,In order to overcome your fear we must face our fears.,85.17791128327147,0.9907991,In order to overcome your fear we must face our fears.,To overcome your fear we must face our fears.,95.75521571989484
Of i did not like him.,First of all i did not like him.,Of course i did not like him.,59.71572064819127,0.9332847,Of course i did not like him.,Of course i did not like him.,100.0
You you probably read examiners article i read.,You you probably read the same examiner article i read.,You you probably read the examiners article i read.,82.78082092785786,0.96654963,You you probably read the examiners article i read.,You you probably read the examiners article i read.,100.0
And we will see what happen big old balloon.,And we will see what happens to this big old balloon.,And we will see what happens with the big old balloon.,80.34788021601639,0.9908128,And we will see what happens to the big old balloon.,And we will see what happens to that big old balloon.,85.63968081437972
You have not read book so you do know.,You have not read the book so you do not know.,You have not read a book so you do not know.,84.28362542414224,0.9383948,You have not read a book so you do not know.,You have not read a book so you do not know.,100.0
Let me ask you one thing.,Let me ask you one other thing.,Let me ask you one thing.,68.9409522915008,0.91983056,Let me ask you one thing.,Let me ask you one thing.,100.0
I like we can sit down,I like when we can sit down to.,I like we can sit down and just sit down.,58.09309613101191,0.9401465,I like we can sit down and relax.,I like we can sit down and just sit down and.,73.34666097192721
Accounts and know people the theatre.,On account of russian and knowing so many people in the theatre.,Accounts and know people in the theatre.,52.47192618001281,0.87140393,Accounts and know people in the theatre.,Accounts and know people in the theater.,94.6124271075606
But sky was get brighter him.,But the sky was getting brighter behind him.,But the sky was getting brighter for him.,76.91288682508494,0.9464083,But the sky was getting brighter for him.,But the sky was getting brighter for him.,100.0
I be really to hear that person their twenty.,I was just really amazed to hear that people in their twenties.,I am really interested to hear that person their twenty.,53.409389759308645,0.83074546,I am really sad to hear that person in their twenty.,I am really interested to hear that person in their twenty.,83.40258787338229
I be going have cat in my apartment.,I am going to have a cat in my apartment.,I am going to have a cat in my apartment.,100.0,0.99999976,I am going to have a cat in my apartment.,I am going to have a cat in my apartment.,100.0
They were try figure the bill.,He like needed they were trying to figure out the bill.,They were trying to figure out the bill.,73.52037526480908,0.9445227,They were trying to figure out the bill.,They were trying to figure out the bill.,100.0
Tha that reassurance of what come it.,Tha that some reassurance of what comes out of it.,Tha that reassurance of what came out of it.,68.77819401060479,0.9252605,Tha that reassurance of what came after it.,Tha that reassurance of what came before it.,78.71694221417316
I know it be year too i see.,I know it is on this year too i saw.,I know it is a year too i see.,57.19352684334266,0.88775766,I know it is a year too i see.,I know it is a year too soon i see.,81.90518232838147
I be go switch i think and.,No i am going to switch i think and.,I am going to switch i think and.,89.59354225357336,0.97948605,I am going to switch i think and.,I am going to switch off i think and.,86.61394968589295
Be because uh these new formulas.,Is because uh with these new mathematical formulas.,Be because uh these new formulas.,50.420510903338965,0.92933625,Be because uh this new formula.,Be because uh this new formula.,83.86287202870444
I am go to rent it.,So no i am going to rent it.,I am going to rent it out.,70.47037217012756,0.88202035,I am going to rent it out.,I am going to rent it.,94.45755709297525
No they did need one there.,No they did not need one there.,No they did not need one there.,100.0,1.0,No they did not need one there.,No they did not need one here.,91.3485592023433
God be revealing himself jacob and god reveals himself us.,So god was revealing himself to jacob and god reveals himself to us.,God is revealing himself to jacob and god reveals himself to us.,88.79717606351527,0.98713446,God is revealing himself to jacob and god reveals himself to us.,God is revealing himself to jacob and god reveals himself to us.,100.0
Because you touch you do shoot.,Because when you touch you do not shoot.,Because you touch you do not shoot.,80.41253601298145,0.97797734,Because you touch you do not shoot.,Because you touch you do not shoot.,100.0
Yes they put stuff that was three times money.,Yes they put up stuff that was worth three times the money.,Yes they put stuff that was three times the money.,75.62735191360629,0.9560774,Yes they put stuff that was three times as much money.,Yes they put stuff that was three times that money.,84.27684498358222
Mary lou its cousin used always.,Mary lou my cousin used to always.,Mary lou its cousin used to always.,81.1857682588612,0.96454895,Mary lou its cousin used to.,Mary lou his cousin used to.,79.39631474649731
My moms do know what do get me.,My mom does not know what to do to get me out.,My mom does not know what does get me.,65.06524331777148,0.8705231,My mom does not know what does get me to.,My mom does not know what does get me in.,91.1431604722952
Midwife said these mother they be have babies without us.,The midwives said well these mothers they are having the babies without us.,The midwife said to these mothers they were having babies without us.,67.94298709425057,0.9609357,The midwife said to these mothers they are not going to have babies without us.,The midwife said to these mothers they are not going to have babies with us.,79.93074213660731
Sat sat boards itself have say.,The sat the sat board itself has said.,Sat sat on the board itself has said.,66.43395695457468,0.8923927,Sat sat on the board itself has a say.,Sat sat on the board itself had a lot to say.,75.75477470708351
I be talking greg on friday.,I was talking to greg on friday.,I am talking to greg on friday.,84.89467577916403,0.9468674,I am talking with greg on friday.,I am talking with greg on friday.,83.21649020454419
The youm i forget what they call it.,In the little youm i forget what they call it.,The youm i forgot what they call it.,64.41837190065614,0.9466584,The youm i forgot what they call it.,The youm i forgot what they call it.,100.0
Twenty years they could let guy go.,After twenty years they could let the guy go.,Twenty years they could not let the guy go.,76.39005192006371,0.91894317,Twenty years they could not let the guy go.,Twenty years they could not let a guy go.,91.50625283629495
Like he be just like recruit us right dinner tables.,Like he was just like recruiting us right off of the dinner table.,Like he is just like recruiting us right at the dinner table.,77.97014858608848,0.9582571,Like he is just like recruiting us right at the dinner table.,Like he is just like recruit us right at the dinner table.,95.39873402290297
I do know person can do it.,I do not know how a person can do it.,I do not know a person can do it.,85.97703335561579,0.9209622,I do not know how a person can do it.,I do not know a person can do that.,81.88280753120613
So she say it has not been day.,So she says it has not been a good day.,So she said it has not been a day.,62.07666405589768,0.8128476,So she said it has not been a day.,So she said it has not been a day.,100.0
Oh i did know you be frederick.,Oh i did not know you were so talented frederick.,Oh i did not know you were frederick.,70.12394333118073,0.8780134,Oh i did not know you were frederick.,Oh i did not know you were frederick.,100.0
So jamie old lady go and yelled them.,So jamie the old lady went and yelled at them.,So jamie old lady went and yelled at them.,87.75374823531824,0.99438477,So jamie old lady went and yelled at them.,So jamie old lady went and yelled at them.,100.0
And knowledge and pursuit ums spirituality has taken on form.,And knowledge and the pursuit of um spirituality has taken on many forms.,And knowledge and pursuit of ums spirituality has taken on a new form.,75.6673605299119,0.91438174,And knowledge and pursuit of ums spirituality has taken on a new form.,And knowledge and pursuit um spirituality has taken on a new form.,94.61803531412983
They try really great pant and they look in them.,They try on these really great pants and they look really good in them.,They try really great pants and they look good in them.,70.6500764689969,0.9810202,They try really good pants and they look really good in them.,They try really good pants and they look great in them.,78.8166345724434
They put new woodworks along bottoms and woodworks windows.,They put new woodwork along the bottom and all new woodwork around the windows.,They put a new woodwork along the bottom of the window.,57.374564508209524,0.9370675,They put a new woodwork along the bottom of the woodwork window.,They put a new woodwork along the bottom of the woodworks and woodworks windows.,74.87341435189767
He get and he would pull thing.,He got up there and he would pull that thing out.,He got and he would pull the thing out.,65.27934439951389,0.9411509,He got and he would pull the thing.,He got and he would pull this thing.,85.16108311806646
She need get into some campus group.,She needs to get into some in campus group.,She needs to get into some campus group.,86.90678698190393,0.9917908,She needs to get into some campus group.,She needs to get into some campus group.,100.0
But like i say things will work.,But uh like i say things will work out for the best.,But like i said everything will work out.,48.6162595556229,0.9358326,But like i said everything will work.,But like i said it will work.,79.97012113785051
Hm should i turn radio stati.,Hm should i turn on the radio stati.,Hm should i turn off the radio stati.,85.6732429077237,0.91790766,Hm should i turn off the radio stati.,Hm should i turn off the radio stati.,100.0
That that your makeup determines who you are.,That that your genetic makeup largely determines who you are.,That that your makeup determines who you are.,64.99741438945219,0.8736335,That that your makeup determines who you are.,That that your makeup determines who you are.,100.0
You know faces be too big.,You know the face is not too big.,You know the faces are too big.,68.60342794556549,0.7823614,You know faces are too big.,You know your faces are too big.,76.41008038437278
Actually those help you have backache.,Actually that helps when you have a backache.,Actually those help you have backache.,58.55153076506561,0.90708816,Actually those help you have backache.,Actually those help you have back pain.,89.709985535208
I can fit balloons ittybitty container.,So i can fit all those balloons into this little ittybitty container.,I can fit the balloons in the ittybitty container.,60.21781808941494,0.9411775,I can fit the balloons into the ittybitty container.,I can fit the balloons in a ittybitty container.,90.0232133127313
I get out of it be the name of book.,So all i got out of it was the name of the book.,I got out of it with the name of the book.,70.45501378977607,0.8907089,I got out of it was the name of the book.,I got out of it in the name of the book.,82.78361133473842
I think that be going go.,I think that is going to go.,I think that is going to go.,100.0,1.0000001,I think that is going to go.,I think that is going to go.,100.0
I take that a good sign.,I took that as a pretty good sign.,I take that a good sign.,43.05107293395221,0.94451207,I take that a good sign.,I take that as a good sign.,86.92871669619355
Should you steal why should you shoot.,Why should not you steal why should not you shoot.,Should you steal why should you shoot.,63.5213011987821,0.9243139,Should you steal why should you shoot.,Should you steal why should you shoot.,100.0
Mister roberts do you have conversation.,Mister roberts did you have any conversations.,Mister roberts do you have a conversation.,72.13742615669324,0.9388638,Mister roberts do you have a conversation.,Mister roberts do you have a conversation with.,92.41564409492713
I do know how old it is.,So i do not know how old it is.,I do not know how old it is.,86.97119987189801,0.98588663,I do not know how old it is.,I do not know how old it is.,100.0
I still have not find sauces.,I still have not found the sauce.,I still have not found the sauce.,100.0,1.0000002,I still have not found the sauce.,I still have not found any sauce.,84.6339838368824
We have several scars in barn from people bounce trees.,We have several scars in this barn from people bouncing off of trees.,We have several scars in the barn from people who bounce around the trees.,67.74809173686718,0.9806038,We have several scars in the barn from people who bounced around the trees.,We have several scars in the barn from people who bounced off the trees.,90.77513035374241
I would never be handle it.,I would never be able to handle it.,I would never be able to handle it.,100.0,1.0,I would never be able to handle it.,I would never be able to handle it.,100.0
You know there is not girl farrier around.,You know there is not really any girl farriers around anywhere.,You know there is not a girl farrier around.,56.61611473187499,0.9316733,You know there is not a girl farrier around.,You know there is not a girl farrier around.,100.0
Call night and say make a note potassium though.,Call out last night and say make a note for potassium though.,Call at night and say make a note about potassium though.,74.2344346874183,0.9531473,Call at night and say make a note of potassium though.,Call at night and say make a note of potassium though.,92.01115059901348
Yeah we did have it the dining room.,Yeah we did have it once in the dining room.,Yeah we did not have it in the dining room.,73.07491632452455,0.83879966,Yeah we did not have it in the dining room.,Yeah we did not have it in the dining room.,100.0
No i did bring your set keys.,No i did not bring your set of keys.,No i did not bring your set of keys.,100.0,1.0,No i did not bring your set of keys.,No i did not bring your set keys.,91.72004069696547
See we need to ask ourselves question single day.,See we need to ask ourselves that question every single day.,See we need to ask ourselves this question every single day.,90.38448099971822,0.9956882,See we need to ask ourselves these questions every single day.,See we need to ask ourselves this question every day.,82.952428096107
God turn volumes let me here.,God turn the volume down let me out of here.,God turn the volumes let me here.,59.135295793930545,0.8577117,God turn the volume let me here.,God turn the volume and let me here.,82.68421595174325
I mean that looks of like black person.,I mean that looks kind of like a black person.,I mean that looks like a black person.,77.75711793584938,0.98254776,I mean that looks kind of like a black person.,I mean that looks of like a black person.,84.13750493016906
You can like people go cuba times.,You can like people go to cuba all the time.,You can like people going to cuba at times.,67.01294936351864,0.9042859,You can like people going to cuba at the times.,You can like people going to cuba at the time.,90.14970060511693
I knew i do like guys.,I just knew i did not like the other guy.,I knew i did not like that guy.,58.5658909929201,0.93534255,I knew i did not like the guys.,I knew i did not like the guys.,84.59974596130203
So she goes and gets mother.,So she goes and gets the mother.,So she goes and gets her mother.,77.88668939755897,0.975028,So she goes and gets her mother.,So she goes and gets mother.,90.09612281248032
I just played basketballs main beach.,I just played basketball at main beach.,I just played basketball on the main beach.,83.74482485656574,0.98441535,I just played basketball on the main beach.,I just played basketball on the beach.,92.76693646639549
You argue me enough i changed my mind.,You argued with me long enough i changed my mind.,You argue with me enough that i changed my mind.,66.32355699601307,0.96500313,You argue with me enough i changed my mind.,You argue with me enough i changed my mind.,93.14340325946975
I think though it is neat watch them.,I think though it is really neat to watch them.,I think though it is neat to watch them.,78.41629494885616,0.99132836,I think though it is neat to watch them.,I think though it is neat to watch them.,100.0
We will put it business basis.,We will put it on a business basis.,We will put it on a business basis.,100.0,1.0,We will put it on business basis.,We will put it on business basis.,92.33432748314966
She says we are having them do exercises.,She says now we are having them do uh exercises.,She says we are having them do exercises.,74.12482367924368,0.978894,She says we are having them do some exercises.,She says we are having them do some exercise.,86.89453281907686
And he lives right colorado springs.,And he lives right here in colorado springs.,And he lives right in colorado springs.,82.78497068629254,0.97140294,And he lives right in colorado springs.,And he lives right here in colorado springs.,88.14023434633543
Yeah because i can remember questions.,Yeah because i cannot remember the questions.,Yeah because i can remember all the questions.,77.59450218428547,0.81319726,Yeah because i can remember the questions.,Yeah because i can remember all of the questions.,87.2651335943506
But i be not volunteer anything.,But i am not volunteering for anything.,But i am not volunteering anything.,83.23063607815023,0.9623154,But i am not volunteering anything.,But i am not volunteering anything at all.,89.25540982137895
Go to tucson mall and walk morning.,Go over to tucson mall and walk every morning.,Go to the tucson mall and walk the morning.,61.481885741898445,0.9632529,Go to the tucson mall and walk the morning.,Go to the tucson mall and walk the first morning.,87.49098652433932
You could even see far away.,You could not even hardly see very far away.,You could even see far away.,43.30395970755651,0.9027134,You could even see far away.,You could even see far away.,100.0
Like describe growth patterns plant or something.,Like describing growth patterns like a plant or something.,Like describe the growth patterns of plants or something.,67.5537073052732,0.9512545,Like describe the growth patterns of plants or something.,Like describe the growth patterns of plants or something.,100.0
Luther be glad take theme debate.,Luther was glad to take up the theme of this debate.,Luther is glad to take the theme of the debate.,67.35247612510183,0.9772608,Luther is glad to take a theme debate.,Luther is glad to take a theme for the debate.,77.1100427461797
I think you be go go and do uh.,I think you are going to go and do uh a.,I think you are going to go and do uh.,93.93998072390404,0.9840716,I think you are going to go and do uh.,I think you are going to go and do uh.,100.0
Oh you could see their hips bones its spine.,Oh you could see his hips every bone in his spine.,Oh you could see their hip bones in their spine.,49.093141565967066,0.8812115,Oh you could see their hip bones in its spine.,Oh you could see their hip bones its back.,79.97757724820612
Then i go off and worked couple companies and.,Then i went off and worked for a couple of companies and.,Then i went off and worked for a couple of companies and.,100.0,0.99999994,Then i went off and worked for a couple of companies and.,Then i went off and worked for a couple of companies and.,100.0
Frets come and spend week him and i said no.,A fret to come and spend a week with him and i said no.,Frets come and spend a week with him and i said no.,85.53178254113651,0.946005,Frets came and spent a week with him and i said no.,Frets came and spent a week with him and i said no.,87.25211137491839
If you want to get drink water or something that.,If you want to get a drink of water or something like that.,If you want to get water or something like that.,79.06298404511905,0.96273994,If you want to get into a drink of water or something like that.,If you want to get into drinking water or something like that.,76.90733473990882
But you can not look star with microscope.,But you cannot look at the stars with a microscope.,But you can not look at the star with a microscope.,91.3976993531483,0.9622482,But you can not look at the star with a microscope.,But you can not look at a star with a microscope.,92.90058111439053
But it is one of the things that lot colleges use.,Yes but it is one of the things that a lot of colleges use.,But it is one of the things that a lot of colleges use.,92.06211742129497,0.98809683,But it is one of the things that a lot of college students use.,But it is one of the things that a lot of college students use.,89.50553560361396
I need to get caught my work.,I need to get caught up on my work.,I need to get caught up in my work.,85.15424403830202,0.9447415,I need to get caught up in my work.,I need to get caught up on my work.,90.102829358868
See let us say that be.,See let us say that is approximately.,See let us say that is.,56.39398388130973,0.85793257,See let us say that is right.,See let us say that is not true.,70.36274328305872
I do know i mean i have not.,I do not really know i mean i have not.,I do not know what i mean i have not.,61.170177776558724,0.9285687,I do not know what i mean i have not.,I do not know what i mean i have not.,100.0
You are now standing one those diversion tunnels.,You are now standing in one of those old diversion tunnels.,You are now standing in one of those diversion tunnels.,89.17111941105894,0.96603703,You are now standing on one of those diversion tunnels.,You are now standing in one of these diversion tunnels.,89.04938374806105
Eight or ocho and uh huit in french thank you.,Eight or ocho in spanish and uh huit in french thank you very much.,Eight or ocho and uh huit in french thank you.,64.60930713151171,0.9747007,Eight or ocho and uh huit in french thank you.,Eight or ocho and uh huit in french thank you.,100.0
Which means you have go the workshop.,Which means you have to go through the workshop.,Which means you have to go to the workshop.,80.06551114419868,0.96394616,Which means you have to go to the workshop.,Which means you have to go to the workshop.,100.0
Well we would like have this option.,Well we would like to have that as an option.,Well we would like to have this option.,76.588028959407,0.97955966,Well we would like to have this option.,Well we would like to have that option.,89.57148562744285
Get into what i be get.,Get into what i am getting into.,Get into what i am getting.,82.05608177444094,0.965941,Get into what i am getting.,Get into what i am getting.,100.0
I have read books so i do know.,I have not read the book so i do not know.,I have read books so i do not know.,58.52372591599215,0.830318,I have not read any books so i do not know.,I have not read books so i do not know.,78.52801386247125
And i can always put  up tops.,And i can always put thoughse back up into the top.,And i can always put up tops.,43.50537219148327,0.8874056,And i can always put up a top.,And i can always put up the top.,78.7434897793728
You can use this your muffins.,You can use this for your muffins.,You can use this in your muffins.,78.49596597143355,0.9850873,You can use this in your muffins.,You can use this in your muffins.,100.0
It is they have been defined.,It is often when they have been defined.,It is not they have been defined.,66.58051248783727,0.84384763,It is they have been defined.,It is not that they have been defined.,80.66285727585807
I figured he would be in hearing him at.,I figured he would be interested in hearing him at least.,I figured he would be in hearing him at.,66.86906558172755,0.9163052,I figured he would be in hearing him at.,I figured he would be in hearing him at that.,92.1296204153818
You could call me and then listen tape night.,You could not call me up and then listen to a tape that night.,You could call me and then listen to the tape at night.,64.16572214864743,0.81452286,You could call me and then listen to the tape night.,You could call me and then listen to the tape night.,95.00599009104762
She just do have controls over his body.,She just do not have no control over her body.,She just does not have control over his body.,66.2968127122539,0.87782097,She just does not have control over his body.,She just does not have control over her body.,91.11888769977004
And we lost a lot customers this.,And we lost a lot of customers because of that.,And we lost a lot of customers in this.,65.24773102579518,0.98284453,And we lost a lot of customers in this.,And we lost a lot of customers this way.,86.022592376332
How get the parking lot because it used be on.,The how to get in the parking lot because it used to be on.,How to get to the parking lot because it used to be on.,81.39700730464136,0.9742919,How to get to the parking lot because it used to be on.,How to get into the parking lot because it used to be on.,93.3002419870284
I take two and halves squares.,So i take two and a half squares.,I took two and halves squares.,44.31787359985602,0.94247985,I took two and halves squares.,I took two and halves squares.,100.0
I mean these is drawing points.,So i mean that is a strong drawing point.,I mean this is drawing a point.,42.082113251733816,0.7878116,I mean this is drawing a lot of points.,I mean this is drawing a point out.,76.97279322747667
Just bits but yoyou be go down.,Just a little bit more but yoyou are going down.,Just bits but yoyou are going down.,60.89826435185203,0.91400474,Just bits but yoyou are going down.,Just bits but yoyou are going to go down.,86.44306752954294
I do not think you will be get ones.,I do not think you will be getting much out of that one.,I do not think you will be able to get one.,54.24749328432824,0.8188341,I do not think you will be able to get one.,I do not think you will be able to get one of these.,87.72904740417988
And there is um there is nickelodean free.,And there is um also there is also a nickelodean free.,And there is um there is nickelodean free.,68.84235773084318,0.98533773,And there is um there is nickelodean free.,And there is um there is nickelodean free.,100.0
And i said what be i you.,And i said what am i not nice to you about.,And i said what is i you.,39.09778270649413,0.8796003,And i said what is i you.,And i said what is i you.,100.0
I do transport myself cta properties.,I do not transport myself on cta properties.,I do not transport myself to the cta properties.,85.64131874720688,0.9668236,I do not transport myself to the cta properties.,I do not transport myself to the cta property.,95.88416354934873
She goes tommy spencer opened her mouth.,She goes well tommy spencer opened his big mouth.,She goes to tommy spencer opened her mouth.,65.26193564929079,0.9457461,She goes to tommy spencer opened her mouth.,She goes to tommy spencer opened her mouth.,100.0
Why did he want ask hector move editorial.,Why did he want to ask hector to move back to editorial.,Why did he want to ask hector to move editorial.,82.12315744084565,0.953595,Why did he want to ask hector to move the editorial.,Why did he want to ask hector to move the editorial.,92.94302957818117
And did umbrella have uh end it.,And did the umbrella have uh a smooth end on it.,And did the umbrella have uh end it.,67.82607090113851,0.87306297,And did the umbrella have uh end it.,And did the umbrella have uh to end it.,89.78887794675654
And play side side b then side side b.,And play side a then side b then side a side b.,And play side side b then side side b.,69.01351709103119,0.97791964,And play side side b then side side b.,And play side side b then side side b.,100.0
Because if i want her have another one now.,Because if not i want her to have another one now.,Because if i want her to have another one now.,86.47751742256204,0.97809404,Because if i want her to have another one now.,Because if i want her to have another one right now.,88.49558889436257
She be actress woody allen movies woman seventytwo.,She is an actress woody allen movies older woman about seventytwo.,She is an actress in woody allen movies woman seventytwo.,69.63595478766221,0.97578114,She is an actress in woody allen movies woman seventytwo.,She is an actress in woody allen movies woman of seventytwo.,94.03250364254087
So she come have more friends.,So she came here to have more friends.,So she came to have more friends.,82.03417718095596,0.97944057,So she came to have more friends.,So she came to have a lot more friends.,85.39759087197508
I do know where i drew it.,I do not know where i drew it out.,I do not know where i drew it.,86.41016182512598,0.96401,I do not know where i drew it.,I do not know where i drew it.,100.0
If you are keep fivehundreddollar balance.,If you are keeping a fivehundreddollar balance.,If you are keeping a fivehundreddollar balance.,100.0,0.9999996,If you are keeping a fivehundreddollar balance.,If you are keeping a fivehundreddollar balance.,100.0
And they be like you know.,And they were like okay you know.,And they are like you know.,56.79716382321553,0.87988436,And they are like you know.,And they are like you know.,100.0
